substance,cp_0,cp_1,cp_2,cp_3,cp_4,cp_5,cp_6,cp_7,cp_8,cp_9,cp_10,cp_11,cp_12,cp_13,cp_14,cp_15,cp_16,cp_17,cp_18,cp_19,cp_20,cp_21,cp_22,cp_23,cp_24,cp_25,cp_26,cp_27,cp_28
allspice,854.1958,59.324734,42.728397,0.6357155,0.24953319,0.75345993,13.660018,137.49203,2.0682397,8.471058,-0.1099983,10.268545,96780910.0,251.84723,35.38771,0.617722,0.022576813,0.041928366,0.08181973,0.70005095,0.7947717,0.103717536,0.06280767,0.028008828,0.0,0.0032252588,0.032931592,0.085893735,0.0023765066
almond,850.7443,59.059715,42.441547,0.6454163,0.25904122,0.7478206,13.547455,137.65579,2.096888,8.467283,-0.107821696,10.261732,112575680.0,250.86493,35.220352,0.62321275,0.022708159,0.043061398,0.086291,0.69537425,0.7941127,0.10462574,0.062910005,0.027754415,0.0,0.003195963,0.032800674,0.08561817,0.0028595459
angelica,864.7794,60.066563,43.35575,0.62545264,0.25262976,0.7557214,13.830463,139.37862,2.0908778,8.591999,-0.11226074,10.411278,98212810.0,254.86497,35.839626,0.6237282,0.022762544,0.044145543,0.08191068,0.7108122,0.8065184,0.104845665,0.06345922,0.028280739,0.0,0.003276427,0.033454046,0.08673909,0.0022417658
apple,837.0912,58.143185,41.54072,0.6758621,0.27044335,0.7461514,13.271229,136.50635,2.1172414,8.376519,-0.10509031,10.140394,121061200.0,247.37733,34.624794,0.6226601,0.022988506,0.043349754,0.09228243,0.68932676,0.7912972,0.10394089,0.06256158,0.027093597,0.0,0.0031198687,0.032019705,0.08407225,0.002955665
asparagus,846.1731,58.75741,42.230873,0.6390424,0.2538088,0.7496114,13.472449,136.97214,2.0842123,8.431107,-0.1076511,10.215302,118627570.0,249.50142,35.044365,0.6219655,0.024443328,0.044868574,0.08571907,0.6906077,0.7880462,0.104135275,0.062447682,0.02779173,0.0,0.0035158212,0.033818852,0.08756069,0.0025113008
avocado,853.9918,59.323196,42.618855,0.64926505,0.2652475,0.7513162,13.602755,138.5079,2.1226559,8.514952,-0.10947795,10.312384,112968830.0,252.02838,35.367462,0.62713295,0.02263896,0.0430816,0.08633215,0.6974151,0.7969251,0.10559216,0.063524246,0.028045278,0.0,0.0032100016,0.032944754,0.0861632,0.0027031593
banana,857.62946,59.571014,42.84606,0.64534783,0.26365027,0.75214183,13.674564,138.86531,2.1161761,8.545331,-0.10937234,10.351931,112206550.0,253.01854,35.51335,0.6254465,0.022452798,0.043204628,0.08470828,0.7025004,0.80115664,0.105460115,0.063446164,0.028065998,0.0,0.003231842,0.033168904,0.08674945,0.0027215513
brazil_nut,855.6206,59.400475,42.78244,0.6316236,0.25356656,0.7503867,13.648668,138.20291,2.0910325,8.505605,-0.109205164,10.315217,113563580.0,252.15387,35.42901,0.6226223,0.022588314,0.042629074,0.08508831,0.70057744,0.796875,0.10495924,0.06334919,0.028023098,0.0,0.003226902,0.033118207,0.08644701,0.0030570652
broccoli,843.53406,58.542706,42.001827,0.64373547,0.26138252,0.7451763,13.390938,137.03288,2.0985377,8.428382,-0.1075108,10.214689,112173900.0,248.6876,34.898804,0.6224659,0.023097375,0.042206712,0.08840146,0.68959785,0.7891326,0.10485211,0.0626454,0.027750082,0.0,0.0031571952,0.036889333,0.086241275,0.0028248588
brussel_sprouts,855.7254,59.427383,42.788258,0.6326773,0.25330845,0.7532068,13.640745,138.52777,2.1028163,8.523923,-0.11062097,10.332202,113447976.0,252.27893,35.45487,0.62623006,0.02256532,0.042585682,0.086189345,0.7002036,0.79809976,0.10536139,0.063284695,0.027994571,0.0,0.0032236173,0.03512046,0.08720733,0.002375297
